time ; Mw ; Rg ; ri ; 1/sqrt(ri) ; A2 ; Lp
0.000000 ; -334.414764 ; 90.138451 ; -0.000009 ; -1.#IND00 ; -2.10028743743896480000 ; 93.068459 
0.025000 ; -399.278381 ; 73.694420 ; -0.000009 ; -1.#IND00 ; -2.48591446876525880000 ; 76.598412 
0.050000 ; 163.360321 ; 110.511688 ; -0.000009 ; -1.#IND00 ; -2.48591446876525880000 ; 115.096474 
0.075000 ; -1662.078857 ; -1.#IND00 ; -0.000009 ; -1.#IND00 ; -1.02410304546356200000 ;  
0.100000 ; 222.993988 ; 44.765678 ; -0.000009 ; -1.#IND00 ; 2.06303048133850100000 ; 46.251152 
0.125000 ; 1315.547241 ; 37.550198 ; -0.000009 ; -1.#IND00 ; -2.13712882995605470000 ; 35.908604 
0.150000 ; 277.915924 ; 72.954033 ; -0.000009 ; -1.#IND00 ; 0.66094595193862915000 ; 76.598412 
0.175000 ; 68.305305 ; 118.630905 ; -0.000009 ; -1.#IND00 ; -1.69207084178924560000 ; 124.284554 
0.200000 ; 1019.455811 ; 167.923737 ; -0.000009 ; -1.#IND00 ; -1.54221069812774660000 ; 176.154968 
0.225000 ; 21.931787 ; 120.095573 ; -0.000009 ; -1.#IND00 ; -1.71588790416717530000 ; 125.727341 
0.250000 ; -278.713287 ; 89.747246 ; -0.000009 ; -1.#IND00 ; -0.91639089584350586000 ; 93.068459 
0.275000 ; 78.228432 ; 136.384033 ; -0.000009 ; -1.#IND00 ; -1.90346598625183110000 ; 142.650345 
0.300000 ; 826.676758 ; 132.173721 ; 0.000000 ; 1.#INF00 ; -3.80611515045166020000 ; 137.769226 
0.325000 ; -58579.523438 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; -0.82359910011291504000 ;  
0.350000 ; -6263.718262 ; 296.734985 ; 0.000000 ; 1.#INF00 ; 1.76391470432281490000 ;  
0.375000 ; 23039.126953 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; 0.13722041249275208000 ;  
0.400000 ; 4289.578613 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; 0.40370696783065796000 ;  
0.425000 ; 941.229736 ; 38.341656 ; 0.000000 ; 1.#INF00 ; 1.58057057857513430000 ;  
0.450000 ; 149.539902 ; 68.424316 ; 0.000000 ; 1.#INF00 ; 5.29345083236694340000 ; 71.078705 
0.475000 ; 9294.106445 ; 357.873596 ; 0.000000 ; 1.#INF00 ; -1.20646536350250240000 ;  
0.500000 ; 6391.691895 ; 296.315308 ; 0.000000 ; 1.#INF00 ; -1.74038529396057130000 ;  
0.525000 ; -3661.586182 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; -0.68110972642898560000 ;  
0.550000 ; 1657.612061 ; 170.825195 ; 0.000000 ; 1.#INF00 ; -0.98284167051315308000 ; 178.596420 
0.575000 ; 2099.540039 ; 162.797348 ; 0.000000 ; 1.#INF00 ; -0.87061208486557007000 ; 170.187286 
0.600000 ; -276.476105 ; 96.262360 ; 0.000000 ; 1.#INF00 ; 3.20357513427734370000 ; 99.156395 
0.625000 ; 862.652466 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; 5.53406763076782230000 ;  
0.650000 ; -327.969269 ; 149.186264 ; 0.000000 ; 1.#INF00 ; 4.05808830261230470000 ; 155.911987 
0.675000 ; 577.389954 ; 132.495773 ; 0.000000 ; 1.#INF00 ; -0.97498667240142822000 ; 139.014038 
0.700000 ; -167.004715 ; 106.044167 ; 0.000000 ; 1.#INF00 ; -7.61130285263061520000 ; 110.111267 
0.725000 ; -173.568970 ; 95.908691 ; 0.000000 ; 1.#INF00 ; -5.07456064224243160000 ; 99.156395 
0.750000 ; -1579.238525 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; -1.74038529396057130000 ;  
0.775000 ; -4519.843750 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; -1.19464707374572750000 ;  
0.800000 ; 2859.504883 ; 270.525330 ; 0.000000 ; 1.#INF00 ; -1.56196916103363040000 ;  
0.825000 ; 421.423615 ; 38.206341 ; 0.000000 ; 1.#INF00 ; 4.05808830261230470000 ;  
0.850000 ; 1292.796021 ; 51.724411 ; 0.000000 ; 1.#INF00 ; -3.80611515045166020000 ; 50.607349 
0.875000 ; -1871.591675 ; 203.092300 ; 0.000000 ; 1.#INF00 ; -2.21481657028198240000 ; 213.187881 
0.900000 ; 32.701015 ; 113.182076 ; 0.000000 ; 1.#INF00 ; -1.71588790416717530000 ; 118.267082 
0.925000 ; -10049.155273 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; -2.21481657028198240000 ;  
0.950000 ; -1.#IND00 ; 1.#QNAN0 ; 0.000000 ; 1.#INF00 ; 1.#INF0000000000000000 ;  
0.975000 ; -731.675232 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; -1.41675305366516110000 ;  
1.000000 ; -1.#IND00 ; 1.#QNAN0 ; 0.000000 ; 1.#INF00 ; -2.59164834022521970000 ;  
1.025000 ; -134.055466 ; 91.836479 ; 0.000000 ; 1.#INF00 ; -15.22176742553710900000 ; 95.150528 
1.050000 ; 939.058533 ; 227.569275 ; 0.000000 ; 1.#INF00 ; -1.96484446525573730000 ; 238.341278 
1.075000 ; -1.#IND00 ; 1.#QNAN0 ; 0.000000 ; 1.#INF00 ; 1.#INF0000000000000000 ;  
1.100000 ; 2935.560791 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; 0.75081837177276611000 ;  
1.125000 ; -286.163391 ; 102.998291 ; 0.000000 ; 1.#INF00 ; -7.61130285263061520000 ; 106.617805 
1.150000 ; -1.#IND00 ; 1.#QNAN0 ; 0.000000 ; 1.#INF00 ; -1.04159569740295410000 ;  
1.175000 ; -295.267090 ; 132.175629 ; 0.000000 ; 1.#INF00 ; -2.21481657028198240000 ; 137.769226 
1.200000 ; 2873.846924 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; 0.82751750946044922000 ;  
1.225000 ; 828.643372 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; 2.64630579948425290000 ;  
1.250000 ; -1.#IND00 ; 1.#QNAN0 ; 0.000000 ; 1.#INF00 ; 1.#INF0000000000000000 ;  
1.275000 ; -229.150620 ; 108.854546 ; 0.000000 ; 1.#INF00 ; 2.64630579948425290000 ; 113.466667 
1.300000 ; -1.#IND00 ; 1.#QNAN0 ; 0.000000 ; 1.#INF00 ; 17.39416122436523400000 ;  
1.325000 ; 3488.047363 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; 0.98914659023284912000 ;  
1.350000 ; 2759.347656 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; 2.25413274765014650000 ;  
1.375000 ; -1.#IND00 ; 1.#QNAN0 ; 0.000000 ; 1.#INF00 ; 3.20357513427734370000 ;  
1.400000 ; -1384.604858 ; 154.093704 ; 0.000000 ; 1.#INF00 ; 2.29667401313781740000 ; 160.920929 
1.425000 ; -292.078247 ; 88.291985 ; 0.000000 ; 1.#INF00 ; -0.97498667240142822000 ; 90.928772 
1.450000 ; 234.915070 ; 68.719994 ; 0.000000 ; 1.#INF00 ; -2.48591446876525880000 ; 71.078705 
1.475000 ; 142.878967 ; 86.090561 ; 0.000000 ; 1.#INF00 ; 4.19808483123779300000 ; 88.727242 
1.500000 ; -194.196075 ; 120.089546 ; 0.000000 ; 1.#INF00 ; 3.38160729408264160000 ; 125.727341 
1.525000 ; -74520.750000 ; 709.152405 ; 0.000000 ; 1.#INF00 ; 0.95047748088836670000 ;  
1.550000 ; 500.504395 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; 1.35214233398437500000 ;  
1.575000 ; -43.419060 ; 99.530991 ; 0.000000 ; 1.#INF00 ; -1.50415003299713130000 ; 102.971901 
1.600000 ; -28342.578125 ; 557.872009 ; 0.000000 ; 1.#INF00 ; 1.35214233398437500000 ;  
1.625000 ; 41743.566406 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; 2.83098936080932620000 ;  
1.650000 ; -357.672302 ; 105.828094 ; 0.000000 ; 1.#INF00 ; 1.50247216224670410000 ; 110.111267 
1.675000 ; 1486.885620 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; 1.15886068344116210000 ;  
1.700000 ; 2481.085938 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; 0.64004760980606079000 ;  
1.725000 ; -146.531876 ; 119.146759 ; 0.000000 ; 1.#INF00 ; -4.51075172424316410000 ; 124.284554 
1.750000 ; -122.507469 ; 90.298767 ; 0.000000 ; 1.#INF00 ; 2.09860944747924800000 ; 93.068459 
1.775000 ; -455.826416 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; -30.44411277770996100000 ;  
1.800000 ; -173.839859 ; 79.610451 ; 0.000000 ; 1.#INF00 ; -30.44411277770996100000 ; 81.700417 
1.825000 ; 441.827759 ; 136.823593 ; 0.000000 ; 1.#INF00 ; -2.10028743743896480000 ; 142.650345 
1.850000 ; -64.714226 ; 103.206612 ; 0.000000 ; 1.#INF00 ; -2.06470823287963870000 ; 106.617805 
1.875000 ; -21.851654 ; 109.004669 ; 0.000000 ; 1.#INF00 ; 1.17001008987426760000 ; 113.466667 
1.900000 ; 201.543213 ; 54.470810 ; 0.000000 ; 1.#INF00 ; 6.08758926391601560000 ; 54.599388 
1.925000 ; 3982.190674 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; 0.73270517587661743000 ;  
1.950000 ; 2043.655762 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; 0.85068738460540771000 ;  
1.975000 ; 34.363754 ; 72.375275 ; -0.000009 ; -1.#IND00 ; -4.51075172424316410000 ; 73.896484 
2.000000 ; 80.164078 ; -1.#IND00 ; -0.000009 ; -1.#IND00 ; 1.66721975803375240000 ;  
2.025000 ; 258.105225 ; 137.039124 ; 0.000000 ; 1.#INF00 ; -3.47995018959045410000 ; 143.831207 
2.050000 ; 908.221252 ; 25.156918 ; 0.000000 ; 1.#INF00 ; 0.69897872209548950000 ;  
2.075000 ; 816.387268 ; 79.698265 ; -0.000009 ; -1.#IND00 ; -1.84581804275512700000 ; 81.700417 
2.100000 ; -303.850342 ; 100.833710 ; 0.000000 ; 1.#INF00 ; 3.47827243804931640000 ; 104.814911 
2.125000 ; 99.742142 ; 104.890617 ; -0.000009 ; -1.#IND00 ; -3.47995018959045410000 ; 110.111267 
2.150000 ; 1206.280884 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; 1.64468145370483400000 ;  
2.175000 ; 975.122131 ; 40.032837 ; -0.000009 ; -1.#IND00 ; 1.25450694561004640000 ; 41.415939 
2.200000 ; 1705.951904 ; 59.921684 ; -0.000009 ; -1.#IND00 ; 0.43096375465393066000 ; 61.767902 
2.225000 ; 96434.390625 ; -1.#IND00 ; 0.000000 ; 1.#INF00 ; 0.05687119811773300200 ;  
2.250000 ; 6473.859863 ; -1.#IND00 ; -0.000009 ; -1.#IND00 ; 0.45522212982177734000 ;  
2.275000 ; -2747.549561 ; 366.497192 ; -0.000009 ; -1.#IND00 ; -1.50415003299713130000 ;  
2.300000 ; 654.452698 ; -1.#IND00 ; -0.000009 ; -1.#IND00 ; 1.84414017200469970000 ;  
2.325000 ; 29.948946 ; 72.209167 ; 0.000000 ; 1.#INF00 ; 30.44243431091308600000 ; 73.896484 
2.350000 ; 494.604614 ; -1.#IND00 ; 0.000008 ; 345.996918 ; 6.08758926391601560000 ;  
2.375000 ; -301.018494 ; 130.678711 ; 0.000000 ; 1.#INF00 ; 10.14660453796386700000 ; 136.507263 
2.400000 ; 5761.249023 ; -1.#IND00 ; -0.000009 ; -1.#IND00 ; 1.07675731182098390000 ;  
2.425000 ; 2277.254395 ; 27.328979 ; -0.000009 ; -1.#IND00 ; 0.45352065563201904000 ;  
2.450000 ; -399.340424 ; 159.232849 ; -0.000009 ; -1.#IND00 ; 30.44243431091308600000 ; 166.592499 
2.475000 ; -1255.799316 ; 179.829803 ; -0.000009 ; -1.#IND00 ; -2.90008282661437990000 ; 188.463821 
2.500000 ; 663.837280 ; 36.114555 ; 0.000000 ; 1.#INF00 ; 1.08637762069702150000 ; 35.908604 
2.525000 ; 409.546326 ; 60.737423 ; -0.000009 ; -1.#IND00 ; 1.50247216224670410000 ; 61.767902 
2.550000 ; 1572.154053 ; -1.#IND00 ; -0.000009 ; -1.#IND00 ; 2.83098936080932620000 ;  
2.575000 ; -123.904594 ; 95.108749 ; -0.000009 ; -1.#IND00 ; 6.08758926391601560000 ; 99.156395 
2.600000 ; 14013.988281 ; -1.#IND00 ; -0.000009 ; -1.#IND00 ; 0.59315270185470581000 ;  
