time ; Mw ; Rg ; ri ; 1/sqrt(ri) ; A2 ; Lp
0.000000 ; 3624.715332 ; 28.280790 ; -0.000009 ; -nan ; 0.0000000688 ; 29.353077 
0.025000 ; 352.909119 ; 71.933212 ; -0.000009 ; -nan ; 0.0000007082 ; 73.896484 
0.050000 ; 5408.226074 ; -nan ; -0.000009 ; -nan ; 0.0000000460 ;  
0.075000 ; -141.923172 ; 93.408813 ; -0.000009 ; -nan ; -0.0000017617 ; 97.178726 
0.100000 ; -2583.429932 ; 243.741638 ; -0.000009 ; -nan ; -0.0000000970 ; 238.341278 
0.125000 ; 827.885193 ; -nan ; -0.000009 ; -nan ; 0.0000003018 ;  
0.150000 ; -1424.437012 ; 146.435196 ; -0.000009 ; -nan ; -0.0000001757 ; 152.770737 
0.175000 ; -835.023621 ; 66.084755 ; -0.000009 ; -nan ; -0.0000002996 ; 68.130623 
0.200000 ; -337.086548 ; 89.751366 ; 0.000000 ; inf ; -0.0000007419 ; 93.068459 
0.225000 ; -600.684326 ; -nan ; 0.000000 ; inf ; -0.0000004164 ;  
0.250000 ; -192.502090 ; 129.776276 ; 0.000000 ; inf ; -0.0000012989 ; 135.227661 
0.275000 ; -1605.317505 ; 156.602417 ; 0.000000 ; inf ; -0.0000001559 ; 163.800507 
0.300000 ; -59.776558 ; 103.449554 ; 0.000000 ; inf ; -0.0000041825 ; 108.382637 
0.325000 ; 419.228394 ; 110.798134 ; 0.000000 ; inf ; 0.0000005961 ; 115.096474 
0.350000 ; -208.900146 ; -nan ; 0.000000 ; inf ; -0.0000011970 ;  
0.375000 ; 130.566666 ; 120.585564 ; -0.000009 ; -nan ; 0.0000019145 ; 125.727341 
0.400000 ; 108.561028 ; 117.050087 ; -0.000009 ; -nan ; 0.0000023026 ; 122.818062 
0.425000 ; 44097.253906 ; -nan ; -0.000009 ; -nan ; 0.0000000055 ;  
0.450000 ; 2375.752930 ; 120.467308 ; -0.000009 ; -nan ; 0.0000001050 ; 125.727341 
0.475000 ; -274.083008 ; 94.690941 ; -0.000009 ; -nan ; -0.0000009123 ; 99.156395 
0.500000 ; 310.859467 ; 95.427261 ; -0.000009 ; -nan ; 0.0000008040 ; 99.156395 
0.525000 ; 1935.895142 ; 135.216949 ; -0.000009 ; -nan ; 0.0000001289 ; 141.454147 
0.550000 ; 327.294128 ; 94.461121 ; -0.000009 ; -nan ; 0.0000007636 ; 99.156395 
0.575000 ; 2472.247803 ; -nan ; -0.000009 ; -nan ; 0.0000001009 ;  
0.600000 ; -240.526077 ; 103.670723 ; -0.000009 ; -nan ; -0.0000010396 ; 108.382637 
0.625000 ; 677.686523 ; 88.496376 ; -0.000009 ; -nan ; 0.0000003687 ; 90.928772 
0.650000 ; 45.317905 ; 81.951035 ; -0.000009 ; -nan ; 0.0000055164 ; 84.118912 
0.675000 ; -30432.281250 ; -nan ; -0.000009 ; -nan ; -0.0000000084 ;  
0.700000 ; 738.595703 ; 155.541443 ; -0.000009 ; -nan ; 0.0000003383 ; 162.850632 
0.725000 ; 121.207550 ; 118.997704 ; -0.000009 ; -nan ; 0.0000020624 ; 124.284554 
0.750000 ; 527.942261 ; 105.218834 ; 0.000000 ; inf ; 0.0000004733 ; 110.111267 
0.775000 ; 419.708954 ; 115.081482 ; -0.000009 ; -nan ; 0.0000005954 ; 119.810310 
0.800000 ; -65.602631 ; 102.220184 ; -0.000009 ; -nan ; -0.0000038110 ; 106.617805 
0.825000 ; -1538.237671 ; -nan ; -0.000009 ; -nan ; -0.0000001627 ;  
0.850000 ; -71.467003 ; 85.436279 ; -0.000009 ; -nan ; -0.0000034983 ; 88.727242 
0.875000 ; -2624.858643 ; -nan ; -0.000009 ; -nan ; -0.0000000955 ;  
0.900000 ; -363.056061 ; 96.848442 ; -0.000009 ; -nan ; -0.0000006888 ; 101.086548 
0.925000 ; -1236.941772 ; 148.310104 ; -0.000009 ; -nan ; -0.0000002023 ; 154.876740 
0.950000 ; -69.742386 ; -nan ; 0.000000 ; inf ; -0.0000035848 ;  
0.975000 ; -4488.419434 ; 126.006989 ; 0.000000 ; inf ; -0.0000000559 ; 131.277435 
1.000000 ; 2029.912842 ; 154.682800 ; 0.000000 ; inf ; 0.0000001229 ; 161.890839 
1.025000 ; 71207.406250 ; 423.123383 ; 0.000000 ; inf ; 0.0000000033 ;  
