ViscoIntrinseca ; RgFloryFox 
-1999.375000 ; -141.2714233398  
-1999.375000 ; -141.2714233398  
-1999.375000 ; -141.2714233398  
-1999.375000 ; -141.2714233398  
-1999.375000 ; -141.2714233398  
-1999.375000 ; -141.2714233398  
-1999.375000 ; -141.2714233398  
-1999.375000 ; -141.2714233398  
-1999.375000 ; -141.2714233398  
-1999.375000 ; -141.2714233398  
-26.811598 ; -33.5632362366  
-26.811598 ; -33.5632362366  
-26.811598 ; -33.5632362366  
-26.811598 ; -33.5632362366  
-26.811598 ; -33.5632362366  
-26.811598 ; -33.5632362366  
-26.811598 ; -33.5632362366  
-27.565836 ; -33.8750534058  
-26.938675 ; -33.6161804199  
-26.820063 ; -33.5667686462  
-27.339577 ; -33.7821159363  
-26.961086 ; -33.6254959106  
-26.913641 ; -33.6057624817  
-26.628613 ; -33.4867095947  
-1.842260 ; -13.7469577789  
-2.152324 ; -14.4785633087  
-2.029419 ; -14.1975536346  
-0.234604 ; -6.9162068367  
-0.324011 ; -7.7021045685  
-0.324011 ; -7.7021045685  
-0.081062 ; -4.8532118797  
-0.934362 ; -10.9629650116  
-1.632810 ; -13.2048902512  
-1.854896 ; -13.7783164978  
-1.283646 ; -12.1872196198  
-0.188589 ; -6.4307522774  
-0.332475 ; -7.7685947418  
-0.273705 ; -7.2808752060  
0.238895 ; 6.9581246376  
-0.976324 ; -11.1246814728  
-1.539230 ; -12.9476451874  
-1.701236 ; -13.3868293762  
-0.562906 ; -9.2590894699  
-0.162005 ; -6.1131644249  
-0.255585 ; -7.1165237427  
-0.234604 ; -6.9162068367  
0.093698 ; 5.0933141708  
-0.912070 ; -10.8750772476  
-1.347899 ; -12.3872642517  
-1.424670 ; -12.6181116104  
0.000000 ; 0.0000000000  
-0.180125 ; -6.3330721855  
-0.238895 ; -6.9581246376  
-0.238895 ; -6.9581246376  
0.008345 ; 2.2745335102  
-0.805855 ; -10.4353866577  
-1.125813 ; -11.6657228470  
-1.169086 ; -11.8133115768  
0.062943 ; 4.4607129097  
-0.196934 ; -6.5242357254  
-0.222087 ; -6.7909507751  
-0.226259 ; -6.8332138062  
-0.141025 ; -5.8369755745  
-0.822663 ; -10.5074415207  
-1.078248 ; -11.4990644455  
-1.048923 ; -11.3938560486  
0.029325 ; 3.4581034184  
-0.180125 ; -6.3330721855  
-0.205278 ; -6.6151142120  
-0.060081 ; -4.3920755386  
-0.336647 ; -7.8009567261  
-0.912070 ; -10.8750772476  
-1.129985 ; -11.6801147461  
-0.750065 ; -10.1887884140  
-0.039101 ; -3.8061356544  
-0.201106 ; -6.5699892044  
-0.226259 ; -6.8332138062  
0.361681 ; 7.9897184372  
-0.400901 ; -8.2686624527  
-0.878572 ; -10.7402763367  
-1.023769 ; -11.3020439148  
-0.166178 ; -6.1652002335  
-0.081062 ; -4.8532118797  
-0.222087 ; -6.7909507751  
-0.222087 ; -6.7909507751  
0.344992 ; 7.8648867607  
-0.525117 ; -9.0470762253  
-0.926018 ; -10.9302310944  
-1.011252 ; -11.2557935715  
0.182867 ; 6.3650441170  
-0.136852 ; -5.7788343430  
-0.230432 ; -6.8749608994  
-0.238895 ; -6.9581246376  
0.102043 ; 5.2402362823  
-0.720739 ; -10.0542345047  
-1.057267 ; -11.4239912033  
-1.113176 ; -11.6219120026  
0.076771 ; 4.7660098076  
-0.205278 ; -6.6151142120  
-0.247240 ; -7.0382151604  
-0.247240 ; -7.0382151604  
-0.963688 ; -11.0764789581  
-1.910686 ; -13.9150915146  
-2.238989 ; -14.6703414917  
-2.199888 ; -14.5844411850  
-0.247240 ; -7.0382151604  
-0.328183 ; -7.7350244522  
-0.332475 ; -7.7685947418  
-0.192761 ; -6.4778308868  
-0.938654 ; -10.9797239304  
-1.692891 ; -13.3649063110  
-2.135634 ; -14.4410429001  
-7.545113 ; -21.9943695068  
-7.277011 ; -21.7307109833  
-3.913641 ; -17.6718997955  
-1.884222 ; -13.8505477905  
-10.711550 ; -24.7195377350  
-13.827681 ; -26.9157218933  
-11.427998 ; -25.2588138580  
-6.705641 ; -21.1463947296  
-13.397454 ; -26.6336288452  
-19.237160 ; -30.0471477509  
-19.198059 ; -30.0267772675  
-15.822171 ; -28.1521530151  
-16.679764 ; -28.6518630981  
-19.561171 ; -30.2149028778  
-19.241333 ; -30.0493202209  
-16.640663 ; -28.6294593811  
-17.450689 ; -29.0866565704  
-19.484400 ; -30.1753234863  
-19.492744 ; -30.1796302795  
